Id,Title,Description,Status,Priority,Assigned,CreatedDate,UpdatedDate,TaskCode,ProjectId
27,Добавить проверку токена,Обновить интерфейс страницы,Review,Medium,anna|john,2026-01-05T00:00:00,2026-01-12T00:00:00,KAN-27,5
28,Реализовать дополнительную бизнес-логику,Реализовать кэширование запросов,Review,Medium,maria,2026-04-01T00:00:00,,KAN-28,5
29,Добавить дедлайны задач,Оптимизировать отправку сообщений,ToDo,Low,ivan|john,2026-03-31T00:00:00,2026-04-10T00:00:00,KAN-29,4
30,Добавить индексы для таблиц,Добавить роли пользователей,Review,Medium,alex|ivan,2026-03-09T00:00:00,2026-03-14T00:00:00,KAN-30,3
31,Улучшить проверку логина,Необходимо улучшить производительность запроса,ToDo,Medium,john,2026-02-26T00:00:00,2026-03-13T00:00:00,KAN-31,3
32,Реализовать отправку email,Исправить нестабильное поведение функции,Review,Medium,ivan,2026-02-05T00:00:00,2026-02-13T00:00:00,KAN-32,5
33,Проверить целостность данных,Обновить механизм сессий,Done,Medium,alex|john,2026-02-17T00:00:00,2026-02-21T00:00:00,KAN-33,5
34,Добавить проверку токена,Добавить индексы для таблиц,Review,High,alex|ivan,2026-03-08T00:00:00,2026-03-12T00:00:00,KAN-34,4
35,Добавить настройку частоты уведомлений,Исправить загрузку аватаров,Done,Low,ivan,2026-01-01T00:00:00,,KAN-35,4
36,Обновить механизм сессий,Исправить нестабильное поведение функции,InProgress,Medium,alex|olga,2026-03-11T00:00:00,2026-03-27T00:00:00,KAN-36,1
37,Добавить комментарии к задачам,Добавить метки задач,Review,Low,ivan,2026-03-24T00:00:00,2026-03-26T00:00:00,KAN-37,1
38,Добавить уведомления,Добавить метки задач,Done,Low,alex|olga,2026-01-16T00:00:00,,KAN-38,4
39,Исправить проблему drag and drop,Оптимизировать отправку сообщений,Review,High,anna,2026-02-04T00:00:00,,KAN-39,3
40,Исправить проблему drag and drop,Добавить новые связи между таблицами,InProgress,Medium,john|maria,2026-03-30T00:00:00,2026-04-16T00:00:00,KAN-40,4
41,Улучшить производительность доски,Оптимизировать процесс входа,ToDo,High,alex|john,2026-02-27T00:00:00,2026-03-02T00:00:00,KAN-41,4
42,Исправить ошибку регистрации,Пользователь может выполнить действие с некорректными данными,Done,Low,ivan|olga,2026-02-03T00:00:00,2026-02-05T00:00:00,KAN-42,5
43,Исправить ошибку регистрации,Реализовать новую функцию интерфейса,InProgress,Medium,ivan|john,2026-03-09T00:00:00,2026-03-16T00:00:00,KAN-43,5
44,Добавить уведомления,Добавить журнал изменений БД,Review,Low,ivan,2026-04-10T00:00:00,,KAN-44,5
45,Реализовать кэширование запросов,Оптимизировать отправку сообщений,Review,Medium,anna|alex,2026-04-08T00:00:00,2026-04-10T00:00:00,KAN-45,2
46,Исправить нестабильное поведение функции,Добавить проверку токена,InProgress,Low,alex,2026-02-09T00:00:00,,KAN-46,2
47,Улучшить проверку логина,Пользователь может выполнить действие с некорректными данными,Review,Medium,maria,2026-04-11T00:00:00,2026-04-30T00:00:00,KAN-47,2
48,Добавить журнал отправленных уведомлений,Рефакторинг авторизации,InProgress,Medium,ivan|maria,2026-01-20T00:00:00,2026-02-01T00:00:00,KAN-48,1
49,Исправить ошибку авторизации,Пользователь может выполнить действие с некорректными данными,ToDo,Medium,alex|maria,2026-03-25T00:00:00,2026-04-09T00:00:00,KAN-49,4
50,Интегрировать с внешними сервисами,Оптимизировать транзакции,ToDo,Medium,john|olga,2026-02-27T00:00:00,2026-03-06T00:00:00,KAN-50,5
51,Добавить журнал отправленных уведомлений,Исправить загрузку аватаров,Done,Low,ivan|maria,2026-02-23T00:00:00,2026-02-26T00:00:00,KAN-51,1
52,Оптимизировать отправку сообщений,Исправить загрузку аватаров,InProgress,High,olga|anna,2026-02-21T00:00:00,2026-02-25T00:00:00,KAN-52,4
53,Добавить настройку частоты уведомлений,Рефакторинг авторизации,ToDo,High,alex,2026-02-04T00:00:00,,KAN-53,1
54,Добавить проверку токена,Исправить нестабильное поведение функции,ToDo,Medium,anna,2026-02-25T00:00:00,2026-03-14T00:00:00,KAN-54,4
55,Реализовать дополнительную бизнес-логику,Добавить двухфакторную аутентификацию,InProgress,Low,ivan,2026-03-31T00:00:00,,KAN-55,4
56,Оптимизировать процесс входа,Добавить журнал активности,InProgress,Medium,maria|anna,2026-01-13T00:00:00,,KAN-56,1
57,Оптимизировать транзакции,Добавить восстановление пароля,ToDo,Low,maria,2026-04-03T00:00:00,,KAN-57,1
58,Добавить логирование ошибок авторизации,Добавить логирование ошибок,Done,High,maria,2026-02-13T00:00:00,2026-02-15T00:00:00,KAN-58,3
59,Добавить индексы для таблиц,Реализовать обработку ошибок отправки,Done,Low,john,2026-01-07T00:00:00,2026-01-26T00:00:00,KAN-59,2
60,Оптимизировать транзакции,Проверить целостность данных,InProgress,Low,anna,2026-04-02T00:00:00,2026-04-15T00:00:00,KAN-60,5
61,Улучшить производительность доски,Добавить новые связи между таблицами,Review,High,maria|anna,2026-03-26T00:00:00,2026-03-26T00:00:00,KAN-61,5
62,Оптимизировать запросы базы данных,Добавить новые связи между таблицами,Review,Low,john,2026-03-18T00:00:00,2026-03-26T00:00:00,KAN-62,4
63,Добавить обработку ошибок отправки,Добавить журнал отправленных уведомлений,Done,High,alex|ivan,2026-03-15T00:00:00,,KAN-63,2
64,Реализовать кэширование запросов,Интегрировать с внешними сервисами,InProgress,Low,alex,2026-03-28T00:00:00,2026-04-12T00:00:00,KAN-64,3
65,Добавить обработку ошибок отправки,Иногда возникает ошибка при работе с API,Review,High,ivan,2026-01-02T00:00:00,,KAN-65,1
66,Реализовать отправку email,Добавить комментарии к задачам,Done,Medium,ivan|john,2026-03-06T00:00:00,2026-03-08T00:00:00,KAN-66,3
67,Добавить журнал отправленных уведомлений,Добавить роли пользователей,InProgress,Medium,john,2026-02-28T00:00:00,2026-02-28T00:00:00,KAN-67,5
68,Улучшить проверку логина,Добавить новую возможность для пользователей,Review,High,anna|olga,2026-04-06T00:00:00,,KAN-68,3
69,Улучшить проверку логина,Обновить интерфейс страницы,ToDo,Medium,olga|anna,2026-02-15T00:00:00,2026-03-01T00:00:00,KAN-69,4
70,Реализовать шаблоны уведомлений,Реализовать новую функцию интерфейса,Done,Medium,ivan,2026-01-15T00:00:00,2026-01-16T00:00:00,KAN-70,1
71,Улучшить проверку логина,Оптимизировать текущую реализацию,InProgress,Low,olga,2026-03-18T00:00:00,,KAN-71,5
72,Добавить метки задач,Рефакторинг авторизации,Done,Low,ivan,2026-03-11T00:00:00,2026-03-30T00:00:00,KAN-72,3
73,Исправить проблему с блокировками,Реализовать обработку ошибок отправки,ToDo,Low,john|olga,2026-03-11T00:00:00,,KAN-73,4
74,Добавить проверку токена,Проверить целостность данных,ToDo,Low,maria,2026-01-12T00:00:00,,KAN-74,1
75,Реализовать новую функцию интерфейса,Исправить нестабильное поведение функции,Done,Low,john,2026-03-12T00:00:00,2026-03-20T00:00:00,KAN-75,4
76,Добавить журнал отправленных уведомлений,Обновить интерфейс страницы,InProgress,Medium,olga|alex,2026-02-26T00:00:00,,KAN-76,4
77,Добавить страницу настроек проекта,Оптимизировать транзакции,InProgress,Medium,anna,2026-03-11T00:00:00,2026-03-23T00:00:00,KAN-77,3
78,Добавить роли пользователей,Исправить загрузку аватаров,InProgress,Medium,anna,2026-01-15T00:00:00,2026-02-04T00:00:00,KAN-78,3
79,Оптимизировать транзакции,Добавить новые связи между таблицами,InProgress,Medium,alex,2026-01-17T00:00:00,2026-01-22T00:00:00,KAN-79,1
80,Реализовать кэширование запросов,Оптимизировать отправку сообщений,InProgress,Medium,ivan,2026-03-22T00:00:00,2026-04-07T00:00:00,KAN-80,5
81,Добавить журнал изменений БД,Реализовать кэширование запросов,InProgress,Medium,maria,2026-03-30T00:00:00,2026-04-13T00:00:00,KAN-81,3
82,Реализовать поиск задач,Исправить ошибку регистрации,Review,Medium,john,2026-01-04T00:00:00,2026-01-08T00:00:00,KAN-82,1
83,Добавить страницу настроек проекта,Добавить метки задач,InProgress,Medium,ivan|olga,2026-01-08T00:00:00,2026-01-20T00:00:00,KAN-83,1
84,Проверить целостность данных,Реализовать кэширование запросов,ToDo,Low,anna,2026-03-11T00:00:00,,KAN-84,5
85,Исправить загрузку аватаров,Исправить проблему с блокировками,Review,Low,ivan,2026-01-07T00:00:00,,KAN-85,4
86,Реализовать шаблоны уведомлений,Оптимизировать процесс входа,ToDo,High,anna,2026-02-05T00:00:00,2026-02-21T00:00:00,KAN-86,3
87,Оптимизировать запросы базы данных,Реализовать обработку ошибок отправки,Review,Medium,john|olga,2026-02-24T00:00:00,2026-03-02T00:00:00,KAN-87,4
88,Добавить уведомления,Добавить метки задач,ToDo,Medium,olga,2026-03-26T00:00:00,,KAN-88,4
89,Добавить уведомления,Оптимизировать текущую реализацию,InProgress,Medium,ivan,2026-01-29T00:00:00,2026-02-16T00:00:00,KAN-89,2
90,Реализовать дополнительную бизнес-логику,Обновить механизм сессий,InProgress,Medium,maria,2026-02-18T00:00:00,,KAN-90,4
91,Рефакторинг авторизации,Реализовать новую функцию интерфейса,ToDo,Medium,olga|ivan,2026-03-24T00:00:00,,KAN-91,5
92,Добавить страницу настроек проекта,Оптимизировать транзакции,InProgress,Low,anna,2026-02-27T00:00:00,2026-03-17T00:00:00,KAN-92,1
93,Проверить целостность данных,Интегрировать с внешними сервисами,ToDo,Medium,ivan|alex,2026-01-22T00:00:00,2026-01-27T00:00:00,KAN-93,2
94,Обновить механизм сессий,Добавить журнал активности,InProgress,Medium,ivan|anna,2026-03-11T00:00:00,2026-03-15T00:00:00,KAN-94,2
95,Исправить ошибку авторизации,Добавить логирование ошибок,Review,Medium,anna,2026-02-28T00:00:00,2026-03-05T00:00:00,KAN-95,3
96,Добавить обработку ошибок отправки,Исправить нестабильное поведение функции,ToDo,Low,john,2026-02-15T00:00:00,,KAN-96,4
97,Оптимизировать транзакции,Оптимизировать транзакции,ToDo,Low,olga,2026-01-01T00:00:00,2026-01-19T00:00:00,KAN-97,2
98,Добавить журнал изменений БД,Добавить новые связи между таблицами,InProgress,Medium,olga|alex,2026-03-31T00:00:00,2026-04-13T00:00:00,KAN-98,3
99,Исправить нестабильное поведение функции,Добавить роли пользователей,InProgress,High,olga,2026-01-05T00:00:00,2026-01-11T00:00:00,KAN-99,4
100,Добавить журнал отправленных уведомлений,Добавить журнал отправленных уведомлений,InProgress,Medium,anna,2026-01-12T00:00:00,,KAN-100,2
101,Улучшить производительность доски,Оптимизировать отправку сообщений,Review,High,john|ivan,2026-03-18T00:00:00,2026-03-21T00:00:00,KAN-101,3
102,Исправить ошибку авторизации,Иногда возникает ошибка при работе с API,Review,High,anna|maria,2026-02-24T00:00:00,,KAN-102,5
103,Оптимизировать процесс входа,Необходимо улучшить производительность запроса,Review,High,ivan,2026-02-07T00:00:00,2026-02-19T00:00:00,KAN-103,5
104,Оптимизировать запросы базы данных,Добавить настройку частоты уведомлений,ToDo,Low,anna|john,2026-03-07T00:00:00,2026-03-20T00:00:00,KAN-104,5
105,Реализовать дополнительную бизнес-логику,Обновить механизм сессий,Done,Medium,ivan,2026-03-27T00:00:00,,KAN-105,3
106,Оптимизировать процесс входа,Реализовать дополнительную бизнес-логику,ToDo,Medium,alex|anna,2026-01-21T00:00:00,,KAN-106,2
107,Исправить ошибку авторизации,Иногда возникает ошибка при работе с API,Done,High,alex,2026-02-22T00:00:00,2026-03-04T00:00:00,KAN-107,5
108,Добавить двухфакторную аутентификацию,Добавить логирование ошибок,Review,High,olga,2026-01-21T00:00:00,2026-01-30T00:00:00,KAN-108,2
109,Исправить нестабильное поведение функции,Рефакторинг авторизации,Review,Medium,maria,2026-01-11T00:00:00,2026-01-17T00:00:00,KAN-109,4
110,Интегрировать с внешними сервисами,Реализовать обработку ошибок отправки,InProgress,Low,alex,2026-02-13T00:00:00,2026-02-26T00:00:00,KAN-110,1
111,Добавить восстановление пароля,Иногда возникает ошибка при работе с API,ToDo,Medium,ivan|maria,2026-01-21T00:00:00,2026-01-25T00:00:00,KAN-111,5
112,Исправить нестабильное поведение функции,Исправить ошибку регистрации,Review,Medium,john|maria,2026-01-22T00:00:00,,KAN-112,5
113,Добавить дедлайны задач,Исправить нестабильное поведение функции,InProgress,Low,ivan,2026-01-27T00:00:00,2026-02-13T00:00:00,KAN-113,4
114,Реализовать дополнительную бизнес-логику,Добавить роли пользователей,Review,High,ivan,2026-01-31T00:00:00,2026-02-11T00:00:00,KAN-114,4
115,Реализовать кэширование запросов,Добавить индексы для таблиц,ToDo,Medium,alex,2026-02-02T00:00:00,2026-02-07T00:00:00,KAN-115,3
116,Обновить интерфейс страницы,Добавить настройку частоты уведомлений,InProgress,Medium,anna|ivan,2026-03-11T00:00:00,2026-03-17T00:00:00,KAN-116,5
117,Исправить ошибку регистрации,Добавить проверку данных,InProgress,Low,john|alex,2026-02-13T00:00:00,2026-02-25T00:00:00,KAN-117,2
118,Добавить настройку частоты уведомлений,Реализовать шаблоны уведомлений,ToDo,High,anna|ivan,2026-03-26T00:00:00,,KAN-118,3
119,Исправить ошибку регистрации,Реализовать новую функцию интерфейса,ToDo,High,anna,2026-03-02T00:00:00,,KAN-119,2
120,Обновить механизм сессий,Добавить логирование ошибок,ToDo,Low,anna|alex,2026-02-20T00:00:00,,KAN-120,3
121,Добавить комментарии к задачам,Добавить настройку частоты уведомлений,Review,Medium,maria,2026-02-14T00:00:00,,KAN-121,4
122,Добавить восстановление пароля,Добавить новую возможность для пользователей,Review,High,anna,2026-02-21T00:00:00,,KAN-122,2
123,Исправить ошибку авторизации,Необходимо улучшить производительность запроса,Review,Medium,alex|maria,2026-03-29T00:00:00,2026-04-05T00:00:00,KAN-123,3
124,Добавить журнал отправленных уведомлений,Добавить роли пользователей,InProgress,Medium,alex|olga,2026-01-25T00:00:00,2026-01-28T00:00:00,KAN-124,4
125,Добавить логирование ошибок авторизации,Обновить интерфейс страницы,InProgress,Low,ivan,2026-04-07T00:00:00,2026-04-25T00:00:00,KAN-125,2
126,Улучшить проверку логина,Добавить проверку данных,ToDo,Medium,ivan,2026-01-22T00:00:00,2026-02-10T00:00:00,KAN-126,2
127,Улучшить производительность доски,Исправить ошибку регистрации,InProgress,Medium,ivan,2026-02-16T00:00:00,2026-02-25T00:00:00,KAN-127,5
128,Исправить ошибку регистрации,Исправить нестабильное поведение функции,InProgress,High,alex,2026-01-03T00:00:00,2026-01-07T00:00:00,KAN-128,1
129,Обновить интерфейс страницы,Реализовать кэширование запросов,ToDo,High,olga|john,2026-02-19T00:00:00,2026-03-08T00:00:00,KAN-129,2
130,Оптимизировать запросы базы данных,Добавить индексы для таблиц,Done,High,ivan|maria,2026-04-10T00:00:00,2026-04-24T00:00:00,KAN-130,2
131,Улучшить проверку логина,Добавить проверку данных,Review,Medium,alex,2026-03-20T00:00:00,,KAN-131,4
132,Исправить проблему с блокировками,Добавить журнал активности,InProgress,Low,olga,2026-03-03T00:00:00,2026-03-06T00:00:00,KAN-132,4
133,Добавить журнал отправленных уведомлений,Обновить интерфейс страницы,Review,Low,alex|ivan,2026-03-19T00:00:00,2026-04-02T00:00:00,KAN-133,4
134,Исправить загрузку аватаров,Обновить механизм сессий,ToDo,Low,ivan,2026-01-13T00:00:00,,KAN-134,3
135,Реализовать кэширование запросов,Интегрировать с внешними сервисами,ToDo,Medium,olga|maria,2026-02-09T00:00:00,,KAN-135,3
136,Реализовать шаблоны уведомлений,Добавить комментарии к задачам,ToDo,Medium,maria,2026-03-17T00:00:00,2026-03-23T00:00:00,KAN-136,3
137,Проверить целостность данных,Реализовать кэширование запросов,Review,Low,anna|maria,2026-04-04T00:00:00,2026-04-11T00:00:00,KAN-137,4
138,Обновить механизм сессий,Добавить журнал активности,InProgress,High,alex,2026-03-21T00:00:00,2026-04-02T00:00:00,KAN-138,4
139,Оптимизировать процесс входа,Исправить нестабильное поведение функции,Done,High,john|ivan,2026-03-02T00:00:00,2026-03-03T00:00:00,KAN-139,4
140,Оптимизировать запросы базы данных,Оптимизировать транзакции,Done,Medium,ivan,2026-01-19T00:00:00,,KAN-140,1
141,Добавить логирование ошибок авторизации,Реализовать новую функцию интерфейса,Review,High,alex,2026-01-10T00:00:00,,KAN-141,5
142,Добавить логирование ошибок авторизации,Оптимизировать текущую реализацию,ToDo,Medium,maria,2026-01-03T00:00:00,2026-01-13T00:00:00,KAN-142,2
143,Добавить метки задач,Реализовать шаблоны уведомлений,Done,Medium,olga|alex,2026-01-19T00:00:00,2026-01-25T00:00:00,KAN-143,5
144,Обновить интерфейс страницы,Оптимизировать процесс входа,Done,Medium,anna|john,2026-01-13T00:00:00,,KAN-144,3
145,Реализовать поиск задач,Реализовать поиск задач,Review,Low,olga|maria,2026-02-08T00:00:00,,KAN-145,2
146,Добавить логирование ошибок авторизации,Пользователь может выполнить действие с некорректными данными,Review,Low,ivan,2026-02-03T00:00:00,2026-02-08T00:00:00,KAN-146,1
147,Добавить комментарии к задачам,Добавить настройку частоты уведомлений,Done,Low,anna,2026-04-09T00:00:00,2026-04-21T00:00:00,KAN-147,4
148,Добавить логирование ошибок авторизации,Необходимо улучшить производительность запроса,InProgress,High,anna,2026-01-21T00:00:00,2026-01-27T00:00:00,KAN-148,4
149,Обновить механизм сессий,Добавить новую возможность для пользователей,InProgress,Medium,ivan,2026-04-05T00:00:00,2026-04-23T00:00:00,KAN-149,4
150,Реализовать кэширование запросов,Обновить механизм сессий,Done,Low,olga,2026-04-11T00:00:00,2026-05-01T00:00:00,KAN-150,3
151,Реализовать новую функцию интерфейса,Исправить нестабильное поведение функции,InProgress,Medium,olga|john,2026-01-28T00:00:00,2026-01-31T00:00:00,KAN-151,2
152,Добавить проверку токена,Исправить нестабильное поведение функции,InProgress,Medium,john|maria,2026-04-08T00:00:00,,KAN-152,5
153,Добавить страницу настроек проекта,Добавить восстановление пароля,ToDo,Medium,maria|alex,2026-01-13T00:00:00,2026-01-31T00:00:00,KAN-153,3
154,Добавить новые связи между таблицами,Добавить роли пользователей,ToDo,Medium,john|maria,2026-01-26T00:00:00,2026-02-12T00:00:00,KAN-154,3
155,Оптимизировать запросы базы данных,Обновить механизм сессий,Review,Medium,anna,2026-01-15T00:00:00,2026-02-04T00:00:00,KAN-155,2
156,Добавить восстановление пароля,Добавить проверку данных,Review,Medium,alex|olga,2026-03-19T00:00:00,2026-03-27T00:00:00,KAN-156,1
157,Реализовать отправку email,Исправить нестабильное поведение функции,Done,Medium,olga|alex,2026-03-15T00:00:00,2026-03-30T00:00:00,KAN-157,5
158,Реализовать отправку email,Необходимо улучшить производительность запроса,InProgress,Low,ivan|john,2026-01-30T00:00:00,2026-02-12T00:00:00,KAN-158,3
159,Проверить целостность данных,Оптимизировать отправку сообщений,InProgress,High,anna|olga,2026-02-22T00:00:00,2026-02-22T00:00:00,KAN-159,1
160,Обновить механизм сессий,Реализовать новую функцию интерфейса,Review,Low,john|olga,2026-02-06T00:00:00,2026-02-18T00:00:00,KAN-160,3
161,Добавить метки задач,Реализовать обработку ошибок отправки,Done,Medium,maria|ivan,2026-01-09T00:00:00,2026-01-18T00:00:00,KAN-161,5
162,Оптимизировать запросы базы данных,Добавить настройку частоты уведомлений,Done,Medium,anna|olga,2026-02-28T00:00:00,2026-03-15T00:00:00,KAN-162,1
163,Реализовать дополнительную бизнес-логику,Добавить новые связи между таблицами,InProgress,Medium,alex,2026-01-16T00:00:00,,KAN-163,2
164,Проверить целостность данных,Добавить двухфакторную аутентификацию,InProgress,Low,maria,2026-04-06T00:00:00,,KAN-164,1
165,Реализовать дополнительную бизнес-логику,Проверить целостность данных,InProgress,Medium,maria,2026-03-28T00:00:00,2026-04-02T00:00:00,KAN-165,2
166,Реализовать дополнительную бизнес-логику,Добавить новые связи между таблицами,Done,Medium,alex|olga,2026-02-20T00:00:00,2026-03-10T00:00:00,KAN-166,4
167,Добавить метки задач,Добавить страницу настроек проекта,InProgress,Medium,alex|maria,2026-01-23T00:00:00,2026-01-30T00:00:00,KAN-167,1
168,Реализовать кэширование запросов,Добавить настройку частоты уведомлений,InProgress,High,alex|anna,2026-03-13T00:00:00,2026-03-17T00:00:00,KAN-168,3
169,Добавить дедлайны задач,Исправить проблему с блокировками,InProgress,High,john|ivan,2026-01-12T00:00:00,2026-01-22T00:00:00,KAN-169,3
170,Добавить обработку ошибок БД,Добавить восстановление пароля,InProgress,Medium,anna,2026-03-04T00:00:00,2026-03-05T00:00:00,KAN-170,3
171,Реализовать отправку email,Иногда возникает ошибка при работе с API,ToDo,Medium,john|olga,2026-02-02T00:00:00,,KAN-171,1
172,Добавить обработку ошибок отправки,Исправить нестабильное поведение функции,InProgress,High,alex|anna,2026-01-24T00:00:00,2026-02-11T00:00:00,KAN-172,5
173,Добавить страницу настроек проекта,Интегрировать с внешними сервисами,ToDo,Medium,maria,2026-02-01T00:00:00,2026-02-09T00:00:00,KAN-173,4
174,Исправить проблему с блокировками,Добавить новые связи между таблицами,InProgress,Low,john|ivan,2026-03-27T00:00:00,2026-04-05T00:00:00,KAN-174,5
175,Исправить проблему drag and drop,Оптимизировать транзакции,ToDo,Low,john,2026-02-20T00:00:00,2026-03-01T00:00:00,KAN-175,1
176,Исправить загрузку аватаров,Иногда возникает ошибка при работе с API,InProgress,Medium,ivan,2026-03-24T00:00:00,2026-03-27T00:00:00,KAN-176,1
177,Исправить нестабильное поведение функции,Добавить журнал отправленных уведомлений,Done,High,olga|maria,2026-02-04T00:00:00,,KAN-177,5
178,Добавить роли пользователей,Добавить комментарии к задачам,Done,Low,maria,2026-03-28T00:00:00,,KAN-178,5
179,Добавить проверку токена,Обновить интерфейс страницы,Review,Low,maria|anna,2026-03-11T00:00:00,2026-03-11T00:00:00,KAN-179,4
180,Исправить ошибку авторизации,Оптимизировать текущую реализацию,Done,Medium,anna|john,2026-02-26T00:00:00,,KAN-180,3
181,Добавить настройку частоты уведомлений,Проверить целостность данных,Done,High,olga|maria,2026-01-31T00:00:00,2026-02-15T00:00:00,KAN-181,4
182,Оптимизировать отправку сообщений,Необходимо улучшить производительность запроса,Review,Medium,olga,2026-03-29T00:00:00,2026-04-15T00:00:00,KAN-182,1
183,Добавить индексы для таблиц,Добавить новые связи между таблицами,InProgress,Medium,maria,2026-01-30T00:00:00,2026-02-09T00:00:00,KAN-183,2
184,Добавить логирование ошибок авторизации,Необходимо улучшить производительность запроса,Review,Medium,olga|john,2026-03-25T00:00:00,2026-04-03T00:00:00,KAN-184,3
185,Оптимизировать запросы базы данных,Оптимизировать отправку сообщений,Review,High,alex,2026-01-29T00:00:00,2026-02-11T00:00:00,KAN-185,1
186,Реализовать шаблоны уведомлений,Оптимизировать транзакции,InProgress,Medium,ivan,2026-01-29T00:00:00,2026-02-05T00:00:00,KAN-186,1
187,Реализовать отправку email,Исправить нестабильное поведение функции,Review,Low,anna,2026-02-17T00:00:00,2026-02-25T00:00:00,KAN-187,2
188,Исправить загрузку аватаров,Исправить нестабильное поведение функции,InProgress,Medium,john,2026-01-08T00:00:00,2026-01-26T00:00:00,KAN-188,4
189,Добавить роли пользователей,Реализовать шаблоны уведомлений,ToDo,Medium,ivan,2026-02-26T00:00:00,2026-03-02T00:00:00,KAN-189,3
190,Добавить журнал изменений БД,Оптимизировать отправку сообщений,Done,High,anna,2026-02-16T00:00:00,2026-02-17T00:00:00,KAN-190,4
191,Добавить страницу настроек проекта,Обновить интерфейс страницы,InProgress,Medium,john|anna,2026-01-11T00:00:00,2026-01-28T00:00:00,KAN-191,5
192,Добавить обработку ошибок отправки,Добавить логирование ошибок авторизации,Review,High,ivan|olga,2026-03-29T00:00:00,2026-04-14T00:00:00,KAN-192,2
193,Добавить дедлайны задач,Реализовать обработку ошибок отправки,InProgress,Low,john,2026-03-21T00:00:00,2026-03-21T00:00:00,KAN-193,4
194,Исправить проблему drag and drop,Реализовать поиск задач,Review,Medium,maria,2026-02-25T00:00:00,2026-03-10T00:00:00,KAN-194,4
